TIMESTAMP,UNDERLYING_SYMBOL,SEQ_NUM,EXP_DATE,STRIKE,OPTION_TYPE,SIZE,PRICE,BEST_BID_PX,BEST_ASK_PX,UNDERLYING_BID_PX,UNDERLYING_ASK_PX,BID_PX,ASK_PX,BID_SIZE,ASK_SIZE,EXCHANGE
2020-11-24D00:47:57.166000000,AMZN,43,2021-03-15,31.41879,C,98,6.752915,80.47666,40.51041,15.54802,66.45115,36.55768,50.83505,180,54,CBOE
2020-11-24D00:50:50.679000000,AMZN,44,2021-03-10,36.40804,P,194,71.47411,60.12404,25.84044,7.780711,24.2458,3.164699,40.90324,170,122,CBOE
2020-11-24D00:52:42.074000000,AMZN,45,2021-03-10,65.50847,P,39,14.79678,20.77793,73.47217,44.46993,39.42766,15.41361,60.96168,181,140,CBOE
2020-11-24D00:53:36.342000000,SPX,46,2021-03-17,67.57546,C,85,50.19602,71.84595,66.53815,67.35184,97.28156,1.390529,67.66392,182,184,ISE
2020-11-24D00:53:43.993000000,GOOG,47,2021-03-21,19.83539,C,160,78.85483,30.39114,65.38031,15.66519,99.23395,98.40347,89.06321,77,174,ISE
2020-11-24D00:56:23.901000000,CSCO,48,2021-03-08,14.53413,P,143,95.52395,62.82516,46.11407,45.28353,80.53731,39.28543,89.7319,44,65,ISE
2020-11-24D00:57:15.623000000,GOOG,49,2021-03-16,18.50961,C,81,36.90454,95.02007,10.05712,94.85474,87.24572,92.96326,9.478041,94,177,AMEX
2020-11-24D01:01:15.170000000,CSCO,50,2021-03-19,64.13452,P,128,34.99009,12.49011,25.75556,10.29169,12.42488,58.23914,14.47856,110,150,AMEX
2020-11-24D01:01:20.181000000,SPX,51,2021-03-18,88.28408,C,172,63.51079,71.23006,53.73122,84.01347,41.20608,61.20304,25.48829,57,132,BOX
2020-11-24D01:02:10.813000000,DJX,52,2021-03-13,62.11906,C,152,25.8018,92.39875,87.51045,95.9591,8.51614,46.6683,84.43611,188,89,CBOE
2020-11-24D01:05:55.985000000,DJX,53,2021-03-21,9.747007,P,65,76.19154,4.477953,56.27045,16.7254,48.6676,84.61087,30.16101,99,113,AMEX
2020-11-24D01:06:05.353000000,VIX,54,2021-03-04,27.10035,P,21,89.52364,59.70113,88.94695,66.52238,52.2749,72.87425,51.98554,43,143,ISE
2020-11-24D01:06:32.281000000,DJX,55,2021-03-13,50.95707,C,62,30.42705,52.27687,96.12817,69.2687,28.67677,86.88511,56.70704,103,113,ISE
2020-11-24D01:06:59.065000000,GOOG,56,2021-03-13,34.49381,C,125,70.23327,47.72097,81.04276,79.33903,46.70129,95.28968,2.229957,166,133,CBOE
2020-11-24D01:07:19.814000000,SPX,57,2021-03-23,81.7074,P,26,66.64444,2.625925,13.68619,88.32176,7.287502,10.67141,47.31622,114,105,CBOE
2020-11-24D01:07:50.311000000,DJX,58,2021-03-22,17.36155,C,103,12.26949,52.49377,88.95621,80.95155,85.13184,30.40408,25.68647,31,175,AMEX
2020-11-24D01:09:23.909000000,SPX,59,2021-03-04,81.54363,P,40,75.74308,25.77624,10.56711,24.6696,42.95277,79.60038,79.87902,11,126,CBOE
2020-11-24D01:10:08.087000000,AMZN,60,2021-03-08,71.8058,P,19,97.28625,11.00187,90.93502,29.64791,39.22912,12.54445,32.95392,138,110,BOX
2020-11-24D01:10:23.391000000,AAPL,61,2021-03-10,98.00408,C,159,88.94888,32.20823,72.86056,64.43885,74.50695,93.29949,80.11295,111,161,AMEX
2020-11-24D01:12:03.518000000,GOOG,62,2021-03-15,99.53066,P,90,75.67462,56.66205,82.76184,20.20035,20.21865,53.40243,67.81733,179,57,BOX
2020-11-24D01:12:07.880000000,AAPL,63,2021-03-12,80.93684,C,142,58.49222,55.1759,18.46562,94.80636,77.40806,41.00485,40.88785,64,135,BOX
2020-11-24D01:15:52.748000000,SPX,64,2021-03-04,66.89093,C,97,15.54776,25.42064,66.72601,91.01518,1.728803,85.48343,6.438468,83,105,ISE
2020-11-24D01:16:07.310000000,AMZN,65,2021-03-20,0.3518268,C,107,96.6999,68.93481,72.80818,53.7104,0.03268395,36.32332,17.77233,25,186,CBOE
2020-11-24D01:16:38.168000000,DJX,66,2021-03-12,12.0841,C,110,93.47068,58.72612,51.15683,34.58054,85.59089,37.03324,13.4328,56,65,ISE
2020-11-24D01:17:13.838000000,DJX,67,2021-03-19,12.71035,C,186,18.8174,42.50919,50.01553,98.64277,61.92602,96.46323,89.16888,166,7,AMEX
2020-11-24D01:19:52.170000000,SPX,68,2021-03-12,47.51643,C,140,3.526801,8.960072,42.96002,14.41342,44.129,62.00664,51.44481,89,133,CBOE
2020-11-24D01:20:26.523000000,CSCO,69,2021-03-21,21.33531,P,95,74.6288,64.77645,1.470985,50.14755,18.41632,40.00443,64.36583,52,112,ISE
2020-11-24D01:20:30.822000000,SPX,70,2021-03-23,54.46239,P,160,12.89565,75.18808,3.684914,73.51143,39.80592,41.64539,24.80592,112,139,CBOE
2020-11-24D01:20:37.113000000,AMZN,71,2021-03-04,5.51112,P,25,64.84445,49.99647,75.09569,46.91529,83.72784,70.21788,40.80086,88,131,CBOE
2020-11-24D01:20:43.735000000,GOOG,72,2021-03-05,28.01805,C,77,15.86855,23.18305,74.51145,30.00885,7.486993,52.46045,66.79313,184,45,CBOE
2020-11-24D01:20:48.282000000,SPX,73,2021-03-16,51.10903,C,1,46.42942,68.63455,9.680667,89.79833,95.75753,22.87926,67.45722,122,45,AMEX
2020-11-24D01:22:14.070000000,DJX,74,2021-03-10,19.62274,P,166,2.632436,44.6506,8.451521,58.21499,27.40871,44.39127,20.56406,37,63,CBOE
2020-11-24D01:22:40.660000000,VIX,75,2021-03-17,7.814217,C,78,33.81517,14.49482,5.24447,56.85516,94.34009,98.94833,22.14062,138,161,AMEX
2020-11-24D01:22:44.347000000,VIX,76,2021-03-20,87.792,C,163,8.310639,65.84266,86.68378,77.53598,33.55488,1.991262,23.85332,145,45,ISE
2020-11-24D01:25:27.349000000,DJX,77,2021-03-19,66.25846,P,44,29.11846,9.052487,10.99105,4.441933,13.89548,14.7404,17.00623,35,161,BOX
2020-11-24D01:25:56.460000000,AAPL,78,2021-03-04,50.3889,P,11,80.86546,62.55076,71.69487,53.88142,90.36834,23.82279,5.327173,191,8,BOX
2020-11-24D01:28:27.570000000,VIX,79,2021-03-04,15.57285,C,25,75.89061,29.14394,40.259,3.688592,90.13636,84.6269,37.66309,182,199,ISE
2020-11-24D01:28:32.847000000,AMZN,80,2021-03-12,94.6925,P,165,7.772012,14.02473,67.61526,73.89025,58.9212,80.49914,19.98813,136,37,BOX
2020-11-24D01:28:40.306000000,AMZN,81,2021-03-19,57.63742,P,178,40.04739,82.74785,72.25926,10.44217,74.97579,68.75094,38.68139,177,149,ISE
2020-11-24D01:29:47.724000000,DJX,82,2021-03-10,36.5539,C,36,90.53762,77.58394,43.98076,56.79825,5.674099,64.15875,10.2843,153,73,CBOE
2020-11-24D01:31:15.438000000,DJX,83,2021-03-10,39.26978,C,70,66.42171,24.17555,52.45366,63.4083,75.4829,19.18865,70.2754,92,136,AMEX
2020-11-24D01:31:23.532000000,CSCO,84,2021-03-05,37.56221,P,33,87.83047,50.8384,82.43999,58.61898,3.829368,94.676,78.35737,30,126,AMEX
2020-11-24D01:32:18.033000000,SPX,85,2021-03-09,16.06135,C,150,9.576259,32.84619,4.39798,90.6759,75.81561,39.16591,17.11926,140,154,ISE
2020-11-24D01:33:18.184000000,GOOG,86,2021-03-20,38.72567,C,118,23.65884,15.01474,20.75128,10.229,0.215973,34.45329,10.43077,121,27,AMEX
2020-11-24D01:36:14.095000000,SPX,87,2021-03-19,43.96508,P,189,45.8215,95.06792,25.02671,68.83703,96.60899,8.38948,73.49337,42,44,CBOE
2020-11-24D01:37:45.118000000,AMZN,88,2021-03-13,13.02506,C,133,55.76167,34.23653,95.6796,39.90187,0.2088232,62.81103,47.58824,110,57,AMEX
2020-11-24D01:41:11.599000000,CSCO,89,2021-03-23,42.4156,P,28,24.41791,29.67295,60.38113,66.01404,26.2865,18.5068,6.903355,57,37,CBOE
2020-11-24D01:41:17.717000000,VIX,90,2021-03-19,42.15831,C,196,7.752595,72.39848,62.68069,41.3299,78.93087,78.54712,26.66858,7,196,CBOE
2020-11-24D01:41:36.916000000,AMZN,91,2021-03-07,25.40907,P,47,77.67922,12.31718,52.96724,7.97307,2.54803,82.78359,85.2618,144,186,ISE
2020-11-24D01:41:53.310000000,VIX,92,2021-03-22,66.71989,C,92,79.30447,84.1141,46.82082,66.69928,93.17844,67.82675,48.75345,12,12,BOX
2020-11-24D01:43:15.711000000,SPX,93,2021-03-09,51.08375,C,77,95.63137,20.17617,20.98565,7.915936,91.35551,80.85741,10.94884,20,17,ISE
2020-11-24D01:43:45.166000000,AMZN,94,2021-03-18,38.89008,P,160,85.87336,3.342267,36.13082,37.42312,32.26932,15.67496,70.8115,71,186,AMEX
2020-11-24D01:44:08.118000000,VIX,95,2021-03-20,56.02526,C,186,51.74262,49.75873,92.96376,65.04408,14.80892,91.36448,35.1301,120,22,CBOE
2020-11-24D01:45:02.698000000,VIX,96,2021-03-22,79.47627,C,76,18.90914,82.66087,56.45812,19.4413,79.36279,27.0122,15.96708,180,178,ISE
2020-11-24D01:45:20.960000000,VIX,97,2021-03-12,57.77121,C,74,64.60254,82.35817,30.47948,59.26983,60.16458,25.20527,96.33035,68,90,AMEX
2020-11-24D01:45:46.600000000,VIX,98,2021-03-04,35.65926,P,177,50.03513,31.69671,25.93974,53.03733,43.22564,99.20659,42.43441,6,79,AMEX
2020-11-24D01:49:27.690000000,SPX,99,2021-03-16,82.95644,P,169,83.87711,99.49299,34.4775,39.76651,22.57514,80.90512,66.07302,57,46,ISE
2020-11-24D01:51:23.398000000,CSCO,100,2021-03-08,17.98747,C,154,41.45963,33.27673,3.491258,36.5915,57.13881,82.09327,42.75529,166,125,BOX
2020-11-24D01:52:43.644000000,AMZN,101,2021-03-11,10.43783,C,190,12.91897,50.14238,86.02647,39.44265,49.73005,15.32771,51.5599,189,41,ISE
2020-11-24D01:54:56.552000000,SPX,102,2021-03-22,56.03358,C,162,92.2873,14.92168,97.19852,68.34776,97.62393,86.94206,25.36097,112,143,BOX
2020-11-24D01:55:16.665000000,GOOG,103,2021-03-15,1.886178,C,122,53.63855,63.80074,79.36799,48.70252,40.93375,50.00728,66.89713,12,139,CBOE
2020-11-24D01:56:35.094000000,CSCO,104,2021-03-13,54.6378,C,143,84.01771,32.42297,75.8726,83.46035,15.5592,24.68557,94.64227,140,93,CBOE
2020-11-24D01:57:25.742000000,SPX,105,2021-03-17,81.71421,C,1,33.23068,40.28655,30.00591,40.71713,81.66659,76.294,25.05208,195,116,AMEX
2020-11-24D01:57:43.886000000,AMZN,106,2021-03-18,10.77601,C,49,49.10685,60.84647,93.31354,97.3187,40.01515,24.78813,96.33496,126,70,ISE
2020-11-24D01:58:36.662000000,CSCO,107,2021-03-18,15.05059,C,59,12.35866,36.55021,70.94346,53.80629,47.6061,27.01797,16.78938,189,73,AMEX
2020-11-24D01:58:59.125000000,GOOG,108,2021-03-23,80.05363,C,150,94.0509,28.25911,32.87021,91.97909,64.94276,13.2914,35.96431,184,74,ISE
2020-11-24D01:59:45.834000000,VIX,109,2021-03-17,57.71889,P,17,63.53339,81.43177,72.50988,81.84001,45.70273,48.23413,41.88297,194,50,AMEX
2020-11-24D02:00:11.227000000,DJX,110,2021-03-13,18.0364,C,7,5.271452,60.0052,32.06686,57.4787,79.0524,34.46556,67.93085,72,46,AMEX
2020-11-24D02:00:33.802000000,VIX,111,2021-03-18,1.328132,P,107,76.73091,77.73091,1.619865,62.64042,69.90778,64.78678,50.08862,179,35,BOX
2020-11-24D02:01:31.997000000,AAPL,112,2021-03-21,87.06468,P,156,47.15927,26.7278,69.32998,84.66473,22.2883,84.44818,60.11334,27,188,CBOE
2020-11-24D02:03:39.257000000,GOOG,113,2021-03-09,54.92562,C,61,57.45869,25.21459,55.54609,56.24122,67.06966,47.201,8.765659,70,124,ISE
2020-11-24D02:05:21.269000000,AAPL,114,2021-03-17,91.29443,P,2,9.744931,37.50854,83.83807,15.54748,67.26368,84.88912,54.1988,82,92,ISE
2020-11-24D02:06:04.515000000,SPX,115,2021-03-23,54.2842,C,23,68.06165,33.77429,34.31115,95.43126,56.62167,39.83439,39.45307,100,161,CBOE
2020-11-24D02:09:42.253000000,CSCO,116,2021-03-06,44.97938,C,9,26.82929,4.908452,87.43991,60.16973,51.87667,36.60797,16.74131,156,122,BOX
2020-11-24D02:10:16.023000000,SPX,117,2021-03-13,34.59721,C,23,42.83298,34.31136,50.44601,21.52071,10.09684,59.99302,98.75021,142,137,CBOE
2020-11-24D02:10:47.314000000,AMZN,118,2021-03-12,14.23016,C,33,6.344336,42.91383,71.10786,87.23722,95.67247,1.164076,53.06457,159,84,CBOE
2020-11-24D02:13:27.462000000,CSCO,119,2021-03-14,44.79345,C,48,21.43642,0.3060183,0.9928572,40.67213,69.90815,18.42942,77.42076,2,8,CBOE
2020-11-24D02:15:14.565000000,AMZN,120,2021-03-21,29.95603,C,79,54.31179,6.251885,6.754892,7.142571,88.07265,66.85141,71.5382,68,16,ISE
2020-11-24D02:15:52.565000000,GOOG,121,2021-03-09,14.24403,C,144,20.95546,12.83265,72.18215,22.76026,80.76648,98.42451,23.89068,150,182,ISE
2020-11-24D02:15:57.689000000,VIX,122,2021-03-11,49.86609,P,180,12.15202,13.45404,89.13806,18.8294,98.89225,65.95598,98.71731,18,189,AMEX
2020-11-24D02:17:51.908000000,AMZN,123,2021-03-21,93.93595,C,140,6.382563,76.12549,56.38034,14.92043,91.74234,30.75323,72.48335,194,1,AMEX
2020-11-24D02:18:18.803000000,SPX,124,2021-03-23,97.51477,P,164,14.38312,56.91894,51.40126,89.72654,63.68952,28.72612,53.82703,15,8,ISE
2020-11-24D02:19:27.073000000,DJX,125,2021-03-11,60.74432,C,148,26.30822,56.86774,66.38422,98.42354,57.81244,39.68883,67.71255,168,29,ISE
2020-11-24D02:20:41.830000000,CSCO,126,2021-03-14,89.34851,C,144,76.67033,28.08575,55.49899,22.44926,49.82939,45.95563,90.16702,145,22,AMEX
2020-11-24D02:22:41.559000000,AAPL,127,2021-03-12,34.53943,C,96,2.61826,18.53868,33.46066,62.63852,64.66773,28.9029,74.34591,36,152,AMEX
2020-11-24D02:23:51.756000000,GOOG,128,2021-03-22,95.67057,C,52,86.77228,43.57308,94.55141,52.08407,93.11781,91.84941,25.87899,19,122,CBOE
2020-11-24D02:23:59.720000000,AAPL,129,2021-03-14,27.28607,C,163,81.30289,60.62296,77.98795,85.2806,69.98777,72.92322,59.22496,55,7,ISE
2020-11-24D02:28:47.322000000,AAPL,130,2021-03-14,81.47394,C,166,98.14475,46.10239,79.54165,40.01429,19.96411,96.09665,64.36305,16,87,CBOE
2020-11-24D02:32:47.442000000,GOOG,131,2021-03-21,82.53343,C,50,51.03804,56.09241,95.79967,93.2357,54.35379,87.38986,16.37398,96,78,ISE
2020-11-24D02:32:54.389000000,GOOG,132,2021-03-10,18.20207,C,108,64.31144,65.59355,47.54058,99.66804,99.61115,23.76159,17.93929,69,147,AMEX
2020-11-24D02:32:59.183000000,GOOG,133,2021-03-18,7.63053,P,189,50.21875,37.65254,70.77085,55.16539,46.05506,69.20091,67.75179,161,63,ISE
2020-11-24D02:33:25.860000000,GOOG,134,2021-03-05,61.35499,C,14,52.94021,59.11258,32.69638,54.80925,29.36993,73.16889,80.17581,149,74,BOX
2020-11-24D02:34:42.636000000,DJX,135,2021-03-10,2.730443,P,0,24.40683,53.05714,41.6484,29.71356,53.43286,65.3648,56.67449,183,190,AMEX
2020-11-24D02:34:44.985000000,AMZN,136,2021-03-13,52.48887,P,186,11.28911,73.01128,78.91531,7.078955,33.1464,85.75162,33.51793,108,18,CBOE
2020-11-24D02:36:26.502000000,SPX,137,2021-03-07,56.60536,C,58,36.5561,46.00538,90.70005,3.760963,72.88135,78.26354,38.80314,137,37,BOX
2020-11-24D02:36:49.537000000,AAPL,138,2021-03-11,23.0288,P,65,25.94408,9.236868,24.24096,98.76933,39.90502,28.41742,30.73376,138,95,ISE
2020-11-24D02:40:19.789000000,AAPL,139,2021-03-07,74.93047,C,93,7.136067,76.99884,83.87715,79.07555,81.11458,71.62552,80.07573,64,146,AMEX
2020-11-24D02:40:54.369000000,CSCO,140,2021-03-19,93.12027,P,129,88.81168,21.18406,26.90756,45.99473,33.251,11.6301,12.7187,169,62,ISE
2020-11-24D02:42:07.315000000,VIX,141,2021-03-20,88.59814,C,66,47.90065,86.48155,85.08677,17.78606,80.80256,42.67095,24.33178,84,168,AMEX
2020-11-24D02:44:41.921000000,CSCO,142,2021-03-16,98.97547,P,163,79.63954,17.42471,61.71511,43.43994,65.40234,61.87692,24.50092,167,143,AMEX
2020-11-24D02:46:19.635000000,VIX,143,2021-03-19,42.31157,P,116,89.08198,97.05561,59.23553,96.09907,0.3134782,14.79103,36.17489,165,127,AMEX
2020-11-24D02:47:35.494000000,VIX,144,2021-03-15,54.74793,P,0,73.4092,38.11001,79.44816,83.57721,0.9900533,19.14136,30.8423,197,78,ISE
2020-11-24D02:51:03.385000000,SPX,145,2021-03-14,66.05391,C,199,89.39408,99.9267,44.19793,11.03974,53.99815,18.10941,83.7183,184,187,BOX
2020-11-24D02:51:09.869000000,CSCO,146,2021-03-08,72.77843,C,109,33.99035,57.39713,66.76173,75.07011,45.32747,87.25683,63.96912,59,22,CBOE
2020-11-24D02:53:07.532000000,GOOG,147,2021-03-09,78.98548,C,169,88.01767,26.69117,84.75801,19.68757,95.96505,72.08074,76.35421,169,170,BOX
2020-11-24D02:53:17.595000000,AMZN,148,2021-03-10,3.131445,C,55,29.73687,59.89899,55.99911,46.96976,20.54364,55.06571,46.94779,23,137,ISE
2020-11-24D02:56:39.918000000,AMZN,149,2021-03-17,98.32222,C,21,71.96572,98.13631,46.3764,30.41429,4.8903,16.17245,16.22751,84,137,ISE
2020-11-24D02:57:16.248000000,DJX,150,2021-03-21,50.52697,C,180,91.8526,0.5023538,7.323983,94.94678,49.92644,66.54583,92.73518,5,62,AMEX
2020-11-24D02:57:50.564000000,DJX,151,2021-03-12,66.98891,C,155,10.03428,14.32172,38.79417,86.51648,88.65745,15.10798,83.69824,192,42,ISE
2020-11-24D02:58:02.890000000,AAPL,152,2021-03-10,93.45227,C,14,5.404584,10.17321,77.49552,56.46923,74.60711,55.10096,65.55005,184,116,AMEX
2020-11-24D02:58:30.821000000,DJX,153,2021-03-19,25.13449,C,148,54.24192,94.99741,27.58842,21.71532,71.17589,81.46848,17.32844,6,46,AMEX
2020-11-24D02:58:57.650000000,VIX,154,2021-03-08,41.81608,C,199,17.04107,36.63586,40.44366,5.657624,96.67088,28.99268,31.4053,9,137,CBOE
2020-11-24D03:01:02.371000000,AAPL,155,2021-03-15,79.77447,C,54,19.90501,6.494167,68.37246,24.92595,53.05494,40.08495,88.45797,195,15,BOX
2020-11-24D03:01:36.028000000,CSCO,156,2021-03-14,49.74742,P,16,24.4876,2.551688,51.82982,64.09019,37.78834,12.76259,74.42156,189,196,CBOE
2020-11-24D03:01:43.104000000,AMZN,157,2021-03-08,30.90365,P,108,82.39462,21.54752,24.41948,56.00648,72.55005,37.67011,89.01646,94,151,CBOE
2020-11-24D03:04:33.029000000,SPX,158,2021-03-17,4.193874,P,54,52.72588,70.1178,61.94536,16.76854,1.506645,6.234204,44.82602,87,136,ISE
2020-11-24D03:05:04.728000000,CSCO,159,2021-03-12,32.71044,P,43,45.12709,74.45931,42.95632,23.47189,17.81112,56.98703,13.16714,157,140,ISE
2020-11-24D03:05:48.402000000,VIX,160,2021-03-15,68.1943,C,2,5.509302,88.92535,38.97063,11.4218,20.90632,55.90179,89.05277,67,152,BOX
2020-11-24D03:06:50.699000000,AMZN,161,2021-03-15,47.47222,C,163,66.34174,16.6456,84.77087,43.71745,86.43373,20.45731,64.11845,93,6,CBOE
2020-11-24D03:07:31.525000000,GOOG,162,2021-03-05,16.73861,P,183,50.1242,72.81402,91.60321,59.16892,68.55156,66.90709,7.565046,87,120,BOX
2020-11-24D03:08:34.653000000,VIX,163,2021-03-04,90.45406,P,145,56.651,48.5483,22.39316,87.24598,77.76943,86.74675,61.61701,50,164,AMEX
